"entidad_cvegeo","pob0a2_2010","pob0a3_2010","pob0a4_2020","pob_60_65_2010","pob_65_mas_2010","pob60_mas_2020","pob_2020"
"01",71484,121557,124139,29258,60347,139371,1434635
"02",170792,293234,297372,75229,140625,359079,3634868
"03",36388,60758,69976,14895,27219,75399,804708
"04",45537,76925,89582,21379,46500,101220,1000617
"05",151918,258246,303201,77527,156417,346599,3218720
"06",34459,58263,67713,18355,40373,85396,785153
"07",318258,540459,631723,110499,234982,488266,5730367
"08",186202,322676,317646,89542,193183,415562,3801487
"09",357390,618245,515682,315793,687855,1445343,9018645
"10",95764,161700,165137,44693,104988,203655,1868996
"11",322645,547466,564364,140229,331702,634636,6228175
"12",206947,353009,342818,89041,234427,413264,3657048
"13",148837,255202,265034,74476,176239,359319,3086414
"14",406862,694948,720182,210465,460858,923131,8409693
"15",826124,1426612,1386817,392349,745298,1892113,17427790
"16",251464,425698,450901,122951,316176,554069,4825401
"17",90516,155669,169244,53604,124274,258791,2044058
"18",62934,106044,115640,32069,77322,143524,1288571
"19",242906,413360,454524,132607,274671,614899,5610153
"20",215923,373371,366888,110092,296077,504550,4143593
"21",335474,574513,595125,150565,363871,704407,6604451
"22",105879,178916,196909,42991,93390,217972,2279637
"23",78628,133228,152187,24478,39487,130729,1723259
"24",144320,247057,247444,72960,185016,341617,2866142
"25",147918,252443,253867,83594,183131,380708,3156674
"26",146530,250969,251000,74443,158431,348542,3074745
"27",131454,223692,230085,51726,116201,257823,2572287
"28",177759,302937,311877,89766,195331,421742,3650602
"29",67427,116073,120695,28530,69699,142064,1380011
"30",388269,662288,703364,239698,558859,1101814,8539862
"31",100446,170727,176898,61572,134902,265160,2259098
"32",90413,152037,156123,41090,111062,189990,1666426
