Estado,ent,Casos,R0.1,R0.2,R0.3,R0.4,R0.5,R0.6
AGUASCALIENTES,1,53,3.636674667,3.636674667,1.695372536,1.695372536,3.636674667,3.636674667
BAJA CALIFORNIA,2,222,2.280277596,2.280277596,3.581057758,3.581057758,2.370380043,2.370380043
BAJA CALIFORNIA SUR,3,66,2.773037337,2.773037337,0,0,2.773037337,2.773037337
CAMPECHE,4,14,1.659844845,1.659844845,15.60781948,15.60781948,0,0
COAHUILA,5,126,2.10776766,2.10776766,2.076407395,2.076407395,1.901915459,1.901915459
COLIMA,6,7,1.511060069,1.511060069,0,0,0,0
CHIAPAS,7,33,2.254641711,2.254641711,3.082337651,3.082337651,0,0
CHIHUAHUA,8,42,1.729733691,1.729733691,2.394688935,2.394688935,1.729733691,1.729733691
DISTRITO FEDERAL,9,770,1.5970019,1.5970019,1.347089706,1.347089706,4.782038503,4.782038503
DURANGO,10,12,0.9797498,0.9797498,0,0,0,0
GUANAJUATO,11,71,3.919549408,3.919549408,2.571980664,2.571980664,3.919549408,3.919549408
GUERRERO,12,45,1.382259865,1.382259865,1.78240783,1.78240783,2.64860383,2.64860383
HIDALGO,13,44,1.899998043,1.899998043,1.708075832,0,0,0
JALISCO,14,132,3.114763101,3.114763101,1.695372536,1.695372536,3.114763101,3.114763101
MEXICO,15,461,1.859358728,1.859358728,1.861316148,1.861316148,3.240951162,3.240951162
MICHOACAN,16,41,6.671272906,6.671272906,11.31128291,11.31128291,6.671272906,6.671272906
MORELOS,17,31,2.05693448,2.05693448,7.390287029,7.390287029,2.05693448,2.05693448
NAYARIT,18,14,1.135942295,1.135942295,0,0,1.488860553,1.488860553
NUEVO LEON,19,100,1.9162824,1.9162824,1.516463195,1.516463195,1.9162824,1.9162824
OAXACA,20,40,1.436418434,1.436418434,1.391771167,1.391771167,1.949646605,1.949646605
PUEBLA,21,187,1.613346869,1.613346869,8.155999399,8.155999399,1.912565049,1.912565049
QUERETARO,22,46,1.140980088,1.140980088,13.42612923,0,1.340807011,1.340807011
QUINTANA ROO,23,150,1.681747687,1.681747687,46.85327175,46.85327175,1.773962428,1.773962428
SAN LUIS POTOSI,24,43,1.276094506,1.276094506,2.135127621,2.135127621,1.276094506,1.276094506
SINALOA,25,123,2.291511959,2.291511959,3.25766059,3.25766059,2.76735959,2.76735959
SONORA,26,45,1.421185456,1.421185456,2.919364215,2.919364215,1.552794959,1.552794959
TABASCO,27,104,1.930229079,1.930229079,3.925310561,3.925310561,1.876033591,1.876033591
TAMAULIPAS,28,45,1.756768783,1.756768783,3.183082501,3.183082501,1.427327057,1.427327057
TLAXCALA,29,29,2.318206302,2.318206302,0,0,2.318206302,2.318206302
VERACRUZ,30,53,8.658333904,8.658333904,5.023571329,5.023571329,8.658333904,8.658333904
YUCATAN,31,86,1.196190388,1.196190388,1.735962617,1.735962617,2.032336544,2.032336544
ZACATECAS,32,10,1.278159884,1.278159884,0,0,1.278159884,1.278159884
